user id,test group,converted,total ads,most ads day,most ads hour
1412735,ad,False,2,Saturday,18
1205011,ad,False,1,Saturday,19
1009581,ad,False,11,Thursday,16
1613192,ad,False,109,Friday,17
1524027,ad,False,31,Saturday,18
1245315,ad,False,23,Monday,10
1107690,ad,False,46,Saturday,21
1016958,ad,False,31,Tuesday,9
1019725,ad,False,43,Wednesday,12
1556480,ad,False,15,Friday,21
1116995,ad,False,5,Sunday,11
1651859,ad,False,31,Tuesday,13
1401356,ad,False,2,Thursday,15
1466827,ad,False,6,Tuesday,16
1031377,ad,False,132,Wednesday,17
1016390,ad,False,11,Friday,15
1081496,ad,False,51,Monday,15
1493558,ad,False,60,Sunday,9
1009171,ad,False,2,Tuesday,9
1088877,ad,False,2,Wednesday,17
1534367,ad,False,27,Tuesday,16
1554801,ad,False,129,Thursday,1
1449597,ad,False,92,Sunday,22
1243269,ad,False,65,Tuesday,14
1076414,ad,False,1,Friday,18
1034049,ad,False,17,Sunday,23
1133322,ad,False,14,Monday,23
1063125,ad,False,3,Monday,18
1200244,ad,False,33,Sunday,12
1443438,ad,False,16,Sunday,9
1498282,ad,False,23,Thursday,11
1350400,ad,False,2,Tuesday,14
1378027,ad,False,12,Saturday,16
1619597,ad,False,19,Sunday,17
1104005,ad,False,9,Friday,8
1079023,ad,False,1,Friday,23
1554865,ad,False,40,Wednesday,16
1174538,ad,False,12,Tuesday,21
1173343,ad,False,6,Tuesday,8
1198803,ad,False,39,Wednesday,21
1481533,ad,False,2,Thursday,16
1336995,ad,False,1,Monday,12
1284967,ad,False,54,Friday,23
1109873,ad,False,85,Thursday,1
1496211,ad,False,22,Tuesday,13
1309080,ad,False,14,Sunday,15
1345591,ad,False,24,Tuesday,8
1206150,ad,False,4,Wednesday,12
1639765,ad,False,4,Tuesday,21
1195321,ad,False,4,Sunday,13
1548517,ad,False,18,Sunday,14
1324439,ad,False,188,Monday,14
1498460,ad,False,15,Monday,21
1276757,ad,False,1,Thursday,17
1275200,ad,False,6,Monday,14
1425757,ad,False,16,Saturday,13
1539557,ad,False,1,Saturday,21
1610608,ad,False,9,Monday,16
1577692,ad,False,1,Sunday,13
1463503,ad,False,1,Wednesday,22
1380877,ad,False,15,Monday,15
1484942,ad,False,14,Sunday,22
915149,psa,False,4,Sunday,19
1573594,ad,False,37,Thursday,13
1062640,ad,False,4,Friday,18
1278348,ad,False,32,Saturday,12
1397555,ad,False,32,Sunday,10
1170809,ad,False,11,Tuesday,23
1017617,ad,False,31,Tuesday,17
1316726,ad,False,3,Thursday,16
1381837,ad,False,8,Thursday,13
1069965,ad,False,6,Friday,17
1242217,ad,False,20,Sunday,15
1442894,ad,False,2,Wednesday,0
1145527,ad,False,43,Saturday,11
1553452,ad,False,57,Wednesday,15
1277690,ad,False,1,Thursday,21
1006177,ad,False,1,Friday,22
1211523,ad,False,4,Tuesday,8
1365650,ad,False,130,Sunday,20
1612424,ad,False,4,Thursday,8
1076688,ad,False,8,Thursday,18
1429695,ad,False,1,Tuesday,13
1237292,ad,False,142,Thursday,19
1435758,ad,False,3,Friday,14
1592947,ad,False,15,Wednesday,12
1360166,ad,False,29,Tuesday,11
1433022,ad,False,6,Friday,19
1445913,ad,False,16,Thursday,14
1369594,ad,False,2,Tuesday,15
1536087,ad,False,39,Sunday,9
1518956,ad,False,54,Monday,22
1454555,ad,False,10,Saturday,19
1554225,ad,False,16,Sunday,11
1288633,ad,False,8,Thursday,18
1462307,ad,False,3,Friday,14
1446710,ad,False,5,Thursday,9
1326296,ad,False,4,Thursday,22
1455046,ad,False,19,Wednesday,1
1504520,ad,False,27,Thursday,16
1072404,ad,False,5,Tuesday,11
1011864,ad,False,2,Tuesday,17
1400374,ad,False,2,Tuesday,9
1556123,ad,True,123,Sunday,19
1428530,ad,False,12,Saturday,20
